"Date","Video Views","Profile Views","Likes","Comments","Shares"
"April 14","1723","7","2","0","0"
"April 15","1931","9","3","0","0"
"April 16","54","0","0","0","0"
"April 17","11","0","0","0","0"
"April 18","237","2","1","0","0"
"April 19","1368","5","0","0","0"
"April 20","2026","4","6","0","0"
"April 21","2219","9","8","1","0"
"April 22","2957","12","9","5","2"
"April 23","2183","2","6","0","0"
"April 24","4439","6","9","2","0"
"April 25","1911","9","7","2","2"
"April 26","3717","8","15","2","1"
"April 27","2851","9","9","1","0"
"April 28","4892","18","16","0","4"
"April 29","4373","10","10","2","0"
"April 30","3099","5","9","0","0"
"May 1","2929","8","7","0","1"
"May 2","3338","10","10","0","9"
"May 3","2784","7","5","0","1"
"May 4","3169","15","6","0","1"
"May 5","3601","14","11","0","0"
"May 6","2721","4","4","0","2"
"May 7","3821","10","10","1","4"
"May 8","3230","11","7","2","0"
"May 9","3154","5","7","0","0"
"May 10","3069","11","4","0","1"
"May 11","2444","7","6","0","0"
"May 12","2715","6","5","1","0"
"May 13","3062","20","8","0","2"
"May 14","2841","12","9","0","0"
"May 15","2934","5","5","0","1"
"May 16","4372","16","14","0","2"
"May 17","3797","13","11","0","2"
"May 18","3803","10","9","0","0"
"May 19","3648","12","7","0","0"
"May 20","3519","6","10","0","0"
"May 21","2759","8","3","1","0"
"May 22","3093","7","3","2","0"
"May 23","4639","17","22","1","0"
"May 24","4265","12","10","2","0"
"May 25","3932","11","2","1","0"
"May 26","4489","12","12","5","0"
"May 27","2906","5","0","0","0"
"May 28","3718","9","9","0","0"
"May 29","3883","7","12","4","1"
"May 30","5061","19","8","0","2"
"May 31","2930","21","4","0","4"
"June 1","3593","8","15","0","1"
"June 2","4438","13","17","0","1"
"June 3","3970","10","10","1","0"
"June 4","3931","11","20","1","7"
"June 5","2757","12","7","2","0"
"June 6","2858","8","13","1","0"
"June 7","3590","12","23","2","1"
"June 8","4326","6","10","5","0"
"June 9","3504","11","9","1","0"
"June 10","3863","14","22","1","1"
"June 11","3272","8","9","0","2"
"June 12","3289","12","5","1","0"
"June 13","3034","6","7","4","0"
"June 14","2452","4","0","0","2"
"June 15","2951","4","3","0","1"
"June 16","3549","3","13","0","1"
"June 17","3803","5","15","0","1"
"June 18","4062","9","9","1","1"
"June 19","3182","6","7","0","1"
"June 20","4480","12","19","1","1"
"June 21","4446","9","13","2","1"
"June 22","3548","10","9","1","0"
"June 23","5329","26","15","2","3"
"June 24","3909","12","10","0","1"
"June 25","4888","17","7","0","3"
"June 26","5439","13","13","3","0"
"June 27","4347","15","8","1","2"
"June 28","2923","4","0","0","0"
"June 29","3290","7","5","0","0"
"June 30","4709","8","12","0","0"
"July 1","5197","10","11","1","1"
"July 2","6144","11","20","1","0"
"July 3","4410","20","12","3","0"
"July 4","5777","15","12","4","2"
"July 5","10417","19","18","4","1"
"July 6","12760","21","31","1","1"
"July 7","2735","10","7","0","1"
"July 8","5472","11","10","4","3"
"July 9","12763","16","28","6","2"
"July 10","9251","10","22","3","2"
"July 11","12622","11","26","5","0"
"July 12","4613","11","12","1","1"
"July 13","4773","12","12","0","1"
"July 14","4198","5","11","0","1"
"July 15","3236","10","10","3","2"
"July 16","3813","13","9","2","0"
"July 17","4774","12","14","0","1"
"July 18","5950","14","18","3","1"
"July 19","5687","16","12","4","0"
"July 20","4145","11","10","1","1"
"July 21","8217","19","24","3","1"
"July 22","9265","23","25","1","0"
"July 23","12135","33","41","7","1"
"July 24","13128","31","38","4","2"
"July 25","5869","17","17","4","3"
"July 26","4093","16","10","1","0"
"July 27","4674","16","7","0","0"
"July 28","5052","23","9","0","0"
"July 29","4613","13","17","6","2"
"July 30","3405","11","11","2","0"
"July 31","4061","7","7","3","0"
"August 1","4296","14","11","0","0"
"August 2","3530","5","6","2","1"
"August 3","4688","10","4","4","0"
"August 4","5271","16","7","1","0"
"August 5","4989","14","35","0","7"
"August 6","4504","17","7","3","4"
"August 7","4756","12","3","0","0"
"August 8","4060","13","6","2","1"
"August 9","3624","14","8","1","0"
"August 10","4313","12","5","2","0"
"August 11","3425","12","5","1","1"
"August 12","5943","6","13","0","0"
"August 13","8473","5","22","0","0"
"August 14","6414","14","21","1","0"
"August 15","3953","19","3","1","0"
"August 16","2810","9","4","0","0"
"August 17","4036","19","3","0","0"
"August 18","4857","13","6","1","1"
"August 19","4483","9","6","2","1"
"August 20","3238","4","1","0","0"
"August 21","3082","4","6","1","0"
"August 22","3592","3","8","2","1"
"August 23","3303","5","5","2","0"
"August 24","4976","3","5","1","0"
"August 25","4223","13","11","0","0"
"August 26","2943","5","7","0","0"
"August 27","3581","1","7","2","0"
"August 28","2979","3","7","2","0"
"August 29","2781","4","6","0","0"
"August 30","3579","4","8","0","0"
"August 31","2709","8","7","1","1"
"September 1","2957","4","7","0","0"
"September 2","3499","9","3","1","0"
"September 3","3939","9","11","0","4"
"September 4","2414","1","0","1","0"
"September 5","1709","1","0","0","0"
"September 6","1996","2","3","0","0"
"September 7","2231","1","2","2","0"
"September 8","1925","2","0","1","0"
"September 9","2888","6","4","0","10"
"September 10","2673","4","4","2","0"
"September 11","2589","11","6","0","12"
"September 12","3037","6","4","0","0"
"September 13","2873","4","2","0","0"
"September 14","2415","2","2","0","0"
"September 15","4652","19","11","2","0"
"September 16","5352","11","7","0","1"
"September 17","9157","19","12","0","0"
"September 18","14107","20","24","0","3"
"September 19","10029","31","14","1","0"
"September 20","3263","11","3","0","0"
"September 21","2123","2","4","0","0"
"September 22","9531","18","15","9","0"
"September 23","7071","18","16","8","0"
"September 24","6312","17","16","0","0"
"September 25","6702","19","11","1","0"
"September 26","7146","16","14","1","1"
"September 27","3516","4","3","1","0"
"September 28","8173","22","13","1","0"
"September 29","8197","22","19","0","0"
"September 30","6623","19","15","5","0"
"October 1","3375","11","8","5","2"
"October 2","5979","12","5","0","1"
"October 3","2780","3","3","0","0"
"October 4","9602","27","18","1","1"
"October 5","11073","29","13","0","1"
"October 6","13642","22","16","0","1"
"October 7","1494","2","1","0","0"
"October 8","18620","31","29","2","1"
"October 9","16802","36","24","4","3"
"October 10","14237","20","25","3","0"
"October 11","15238","40","26","-1","2"
"October 12","31118","54","38","2","1"
"October 13","14596","33","23","6","7"
"October 14","3271","9","7","2","0"
"October 15","19401","27","37","3","3"
"October 16","2656","0","2","0","0"
"October 17","6288","20","6","0","0"
"October 18","10836","26","22","1","0"
"October 19","20238","42","37","4","2"
"October 20","6143","14","7","0","1"
"October 21","9828","32","23","0","2"
"October 22","11684","15","25","2","0"
"October 23","2316","3","4","0","0"
"October 24","11331","25","14","2","0"
"October 25","10697","18","15","0","0"
"October 26","3257","0","1","1","0"
"October 27","11071","18","24","4","1"
"October 28","9054","14","13","0","1"
"October 29","2258","12","5","0","0"
"October 30","28332","14","67","4","4"
"October 31","2686","2","1","1","0"
"November 1","4401","9","5","0","0"
"November 2","4735","12","6","0","0"
"November 3","3509","8","1","0","0"
"November 4","14819","21","23","0","3"
"November 5","3006","5","1","1","0"
"November 6","3330","12","3","0","1"
"November 7","3307","6","0","0","0"
"November 8","2881","5","3","0","0"
"November 9","10357","19","17","0","1"
"November 10","6239","19","9","0","2"
"November 11","3677","9","0","1","0"
"November 12","3242","12","2","0","0"
"November 13","2333","7","1","0","1"
"November 14","2546","6","3","0","0"
"November 15","2031","3","1","0","0"
"November 16","2103","2","0","0","0"
"November 17","2277","3","2","0","0"
"November 18","3418","5","1","0","0"
"November 19","3020","6","2","0","0"
"November 20","2976","2","2","0","1"
"November 21","2300","2","1","1","0"
"November 22","2598","4","2","1","1"
"November 23","2788","6","1","0","0"
"November 24","2880","5","3","0","1"
"November 25","2980","2","0","1","0"
"November 26","2343","1","0","3","0"
"November 27","2396","4","2","0","0"
"November 28","2624","6","3","0","0"
"November 29","2631","6","2","0","0"
"November 30","3251","7","2","0","0"
"December 1","3563","4","4","1","0"
"December 2","3451","2","2","0","2"
"December 3","3198","5","1","0","1"
"December 4","2573","2","1","0","0"
"December 5","2474","8","3","0","0"
"December 6","2772","2","5","0","0"
"December 7","2249","2","3","0","0"
"December 8","2731","3","3","0","0"
"December 9","2552","4","2","0","1"
"December 10","2749","1","2","0","0"
"December 11","2690","1","5","0","0"
"December 12","2743","9","2","0","0"
"December 13","2625","2","4","1","1"
"December 14","1680","3","2","0","0"
"December 15","1668","0","1","0","2"
"December 16","1546","2","0","1","0"
"December 17","1750","1","3","0","0"
"December 18","1985","4","5","1","0"
"December 19","3265","9","2","0","0"
"December 20","5789","15","7","0","0"
"December 21","2625","2","0","0","0"
"December 22","2545","6","3","0","2"
"December 23","2495","6","1","0","0"
"December 24","2209","5","1","0","0"
"December 25","2292","2","4","1","1"
"December 26","2342","3","1","2","1"
"December 27","2026","3","1","0","0"
"December 28","3517","7","1","0","1"
"December 29","2259","2","3","1","1"
"December 30","2170","5","5","0","1"
"December 31","1833","2","0","0","2"